Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
Completed,0.75,8,1827,1212,0.242,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,6,2030,4392,0.413,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,12,3368,453,0.914,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,6,1356,1534,0.267,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,15,1,1,0.828,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,5,2370,2988,0.179,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,7,3493,2169,0.68,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,6,4484,4196,0.371,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,8,900,648,0.864,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,7,740,4271,0.028,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,6,5000,2196,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,5,1,879,0.803,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,5,166,1684,0.215,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,5,2845,1349,0.299,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,5,3473,2956,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,5,425,2147,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,6,1702,2296,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,8,4707,1670,0.755,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,6,3276,4623,0.195,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,5,2114,535,0.695,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,8,1686,3858,0.899,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,10,4656,886,0.521,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,7,3616,2901,0.46,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,7,2239,1943,0.96,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,8,1426,3705,0.634,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,5,2568,1453,0.133,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,9,4145,4757,0.816,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,8,1912,3552,0.681,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,8,1666,1029,0.667,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,5,2044,1529,0.66,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,6,4437,3848,0.327,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
